,model,trial,Target ID,Training size,n_neighbors,metric,C,kernel,n_estimators,max_features,min_samples_split,min_samples_leaf,strategy
318,RFR,7,CHEMBL280,6,,,,,50.0,log2,2.0,1.0,
319,MR,7,CHEMBL280,6,,,,,,,,,median
320,1-NN,7,CHEMBL280,12,1.0,jaccard,,,,,,,
321,kNN,7,CHEMBL280,12,3.0,jaccard,,,,,,,
322,SVR,7,CHEMBL280,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
323,RFR,7,CHEMBL280,12,,,,,100.0,log2,2.0,1.0,
324,MR,7,CHEMBL280,12,,,,,,,,,median
325,1-NN,7,CHEMBL280,18,1.0,jaccard,,,,,,,
326,kNN,7,CHEMBL280,18,3.0,jaccard,,,,,,,
327,SVR,7,CHEMBL280,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
328,RFR,7,CHEMBL280,18,,,,,50.0,sqrt,2.0,1.0,
329,MR,7,CHEMBL280,18,,,,,,,,,median
330,1-NN,7,CHEMBL280,30,1.0,jaccard,,,,,,,
331,kNN,7,CHEMBL280,30,3.0,jaccard,,,,,,,
332,SVR,7,CHEMBL280,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
333,RFR,7,CHEMBL280,30,,,,,50.0,log2,2.0,1.0,
334,MR,7,CHEMBL280,30,,,,,,,,,median
335,1-NN,7,CHEMBL280,48,1.0,jaccard,,,,,,,
336,kNN,7,CHEMBL280,48,3.0,jaccard,,,,,,,
337,SVR,7,CHEMBL280,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
338,RFR,7,CHEMBL280,48,,,,,200.0,log2,2.0,1.0,
339,MR,7,CHEMBL280,48,,,,,,,,,median
340,1-NN,7,CHEMBL280,78,1.0,jaccard,,,,,,,
341,kNN,7,CHEMBL280,78,3.0,jaccard,,,,,,,
342,SVR,7,CHEMBL280,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
343,RFR,7,CHEMBL280,78,,,,,100.0,sqrt,2.0,1.0,
344,MR,7,CHEMBL280,78,,,,,,,,,median
345,1-NN,7,CHEMBL280,126,1.0,jaccard,,,,,,,
346,kNN,7,CHEMBL280,126,3.0,jaccard,,,,,,,
347,SVR,7,CHEMBL280,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
348,RFR,7,CHEMBL280,126,,,,,50.0,log2,2.0,1.0,
349,MR,7,CHEMBL280,126,,,,,,,,,median
350,1-NN,7,CHEMBL280,204,1.0,jaccard,,,,,,,
351,kNN,7,CHEMBL280,204,3.0,jaccard,,,,,,,
352,SVR,7,CHEMBL280,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
353,RFR,7,CHEMBL280,204,,,,,100.0,sqrt,2.0,1.0,
354,MR,7,CHEMBL280,204,,,,,,,,,median
355,1-NN,7,CHEMBL280,330,1.0,jaccard,,,,,,,
